OTU	232	202	234	206	236	238	226	220	210	211	212	246	219	NV6	NV5	233	NV8	243	240	225	NV2	NV4	245	239	241	242	NV3	NV7	217	228
OTU1	14662	8881	7202	6134	5175	4122	3486	2673	2507	2476	2585	2097	1874	1206	1125	1033	930	1066	737	820	590	483	290	317	194	215	263	116	99	0
OTU2	4094	6164	342	5002	559	1266	76	5372	4706	9609	9505	0	792	1291	0	0	2484	0	42	0	2024	132	0	0	0	0	0	177	348	0
OTU3	373	1711	388	2184	402	208	859	1952	1050	239	406	600	1831	571	372	807	408	1343	614	874	289	1237	309	248	1202	266	335	636	460	140
OTU4	1397	1850	256	827	947	0	319	496	1095	653	934	296	809	353	346	190	137	517	204	1042	521	1101	595	0	628	0	141	141	0	0
OTU5	0	329	0	0	0	0	0	0	53	33	0	0	210	0	343	0	142	0	0	0	0	0	0	0	0	0	0	4059	0	0
OTU6	0	0	49	0	0	0	59	0	0	0	0	56	0	0	742	364	0	66	98	404	0	67	151	383	415	413	0	0	923	929
OTU7	124	1188	0	143	353	98	0	1687	225	534	1023	170	2278	200	71	0	953	0	812	0	774	197	36	0	0	0	43	3683	212	92
OTU8	847	1907	51	951	79	227	1023	452	195	126	1397	283	396	195	170	73	47	518	182	859	125	0	44	33	809	173	0	1025	516	0
OTU9	0	0	0	0	0	0	160	0	0	0	0	0	0	0	223	241	0	189	0	2355	0	319	140	0	0	33	0	378	158	98
OTU11	122	405	59	120	55	0	0	1062	0	42	0	0	315	0	83	254	107	87	0	364	207	0	0	0	0	0	0	586	302	0
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	0	0	1073	0	0	0	0	0	0	0	0
OTU13	3008	2449	325	666	0	0	0	1514	542	3236	6063	0	701	529	320	0	90	0	375	252	2338	0	0	0	0	0	0	0	0	0
OTU14	183	146	0	263	1471	0	0	0	417	494	174	0	0	44	0	0	204	0	0	85	127	0	0	0	0	0	0	0	0	0
OTU15	79	212	85	58	0	0	110	139	77	0	0	189	99	0	0	0	0	0	127	53	0	103	147	185	148	0	218	156	0	0
OTU17	1278	1120	274	72	0	129	48	736	59	925	296	158	1603	493	0	0	289	103	339	0	148	377	96	0	72	0	86	60	222	0
OTU18	470	0	0	0	151	87	0	0	269	50	233	0	0	250	0	0	116	0	157	0	213	0	0	0	0	0	0	76	0	0
OTU19	201	0	0	0	235	0	110	0	0	30	0	730	0	0	212	158	31	0	265	973	0	230	566	327	169	0	0	1165	620	909
